"Error: No transactionsStatus in response","Feil: Fikk ingen transaksjonsstatus i svar"
"Display PayEx fee","Vis PayEx gebyr"
"Payment fee","Betalingsgebyr"
"Excl. Tax","Uten moms"
"Incl. Tax","Inklusiv moms"
"(Excl. Tax)","(Uten moms)"
"(Incl. Tax)","(Inklusiv moms)"
"You can fill fields using your Social Security Number.","Du kan fylle ut feltene automatisk ved å skrive inn personnummeret ditt.",
"Social Security Number Error","Feil med personnummeret"
"My billing and shipping address are the same","My billing and shipping address are the same"
"You will be redirected to PayEx website when you place an order.","You will be redirected to PayEx website when you place an order."
"Continue to PayEx","Continue to PayEx"
"Place Order","Place Order"
"I accept the","I accept the"
"Terms of Service","Terms of Service"
"You will be redirected to MobilePay website when you place an order.","You will be redirected to MobilePay website when you place an order."
"Continue to MobilePay","Continue to MobilePay"
"Proceed to MasterPass","Proceed to MasterPass"
"Continue to Bank","Continue to Bank"
"Continue to Swish","Continue to Swish"
"Please enter additional fields:","Please enter additional fields:"
"Country","Country"
"Postal Code","Postal Code"
"Get address","Get address"
"Initialize","Initialize"
"Credit","Credit"
"Authorize","Authorize"
"Cancel","Cancel"
"Failure","Failure"
"PayEx Payment Method","PayEx Payment Method"
"Masked Number","Masked Number"
"Bank Reference","Bank Reference"
"Authenticated Status","Authenticated Status"
"Transaction Ref","Transaction Ref"
"PayEx Transaction Number","PayEx Transaction Number"
"PayEx Transaction Status","PayEx Transaction Status"
"Transaction Error Code","Transaction Error Code"
"Transaction Error Description","Transaction Error Description"
"Transaction ThirdParty Error","Transaction ThirdParty Error",
"Pay Now","Pay Now"
